"曲名","アーティスト","歌った回数","おすすめ","歌唱例リンク"
"からくりピエロ","","13","","https://www.youtube.com/watch?v=BIGK3QKSaXA&t=2939s"
"シャルル","","13","","https://www.youtube.com/watch?v=ixHdnCik4Nw&t=1176s"
"ヴァンパイア","DECO*27 ／ Janne Da Arc（同名の別曲・どちらも歌唱歴あり）","12","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=6627s"
"グッバイ宣言","","11","","https://www.youtube.com/watch?v=ixHdnCik4Nw&t=668s"
"水平線","","11","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=7770s"
"IRIS OUT","米津玄師","10","","https://www.youtube.com/watch?v=kVKLWiB4GWY&t=5046s"
"酔いどれ知らず","","10","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=1005s"
"奏","スキマスイッチ","10","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=2883s"
"Butter-Fly","和田光司","8","","https://www.youtube.com/watch?v=bezYq-QLlSw&t=784s"
"葛飾ラプソディー","堂島孝平","8","","https://www.youtube.com/watch?v=yIL7OmGSwr8&t=3127s"
"猫","DISH//","8","","https://www.youtube.com/watch?v=GlrtlvGjaGI&t=2907s"
"Bling-Bang-Bang-Born","Creepy Nuts","7","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=6128s"
"ウィーアー！","きただにひろし","7","🍆","https://www.youtube.com/watch?v=b7nfa5C5KXk&t=1873s"
"空も飛べるはず","スピッツ","7","","https://www.youtube.com/watch?v=chsDm-fkNFM&t=2043s"
"小さな恋のうた","MONGOL800","7","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=2390s"
"少女レイ","","7","","https://www.youtube.com/watch?v=ixHdnCik4Nw&t=268s"
"アイドル","","6","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=5902s"
"シュガーソングとビターステップ","UNISON SQUARE GARDEN","6","","https://www.youtube.com/watch?v=bezYq-QLlSw&t=1494s"
"君の知らない物語","","6","","https://www.youtube.com/watch?v=C_Pk5p6gs7g&t=2506s"
"Get Wild","","5","","https://www.youtube.com/watch?v=gEHwy-9lmrY&t=2652s"
"Hello Especially","","5","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=4060s"
"KICK BACK","米津玄師","5","","https://www.youtube.com/watch?v=bezYq-QLlSw&t=1291s"
"オーバーライド","","5","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=7624s"
"オトノケ","","5","","https://www.youtube.com/watch?v=roIDeXEmIMc&t=867s"
"サウダージ","","5","","https://www.youtube.com/watch?v=wns2yj43ixg&t=170s"
"シルエット","","5","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=1466s"
"チェリーハント","","5","","https://www.youtube.com/watch?v=BIGK3QKSaXA&t=5165s"
"マリーゴールド","","5","","https://www.youtube.com/watch?v=chsDm-fkNFM&t=2371s"
"メルト","","5","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=1141s"
"ラヴィ","","5","","https://www.youtube.com/watch?v=ixHdnCik4Nw&t=1672s"
"可愛くてごめん","HoneyWorks","5","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=563s"
"甲賀忍法帖","陰陽座","5","","https://www.youtube.com/watch?v=b7nfa5C5KXk&t=2204s"
"真夏の夜の夢","松任谷由実","5","","https://www.youtube.com/watch?v=Vrb3E2OPBZU&t=473s"
"星間飛行","","5","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=1755s"
"恋愛裁判","","5","","https://www.youtube.com/watch?v=mfSlpS_JIlU&t=916s"
"God knows...","涼宮ハルヒ(C.V. 平野綾)","4","","https://www.youtube.com/watch?v=bezYq-QLlSw&t=505s"
"HEATS","影山ヒロノブ","4","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=3152s"
"Tomorrow never knows","Mr.Children","4","","https://www.youtube.com/watch?v=gEHwy-9lmrY&t=5256s"
"カサブタ","","4","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=6892s"
"カルマ","BUMP OF CHICKEN","4","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=252s"
"ゴールデンタイムラバー","スキマスイッチ","4","","https://www.youtube.com/watch?v=yIL7OmGSwr8&t=2081s"
"さぁ","","4","","https://www.youtube.com/watch?v=EoUoIBQwcqw&t=840s"
"シリウス","","4","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=7091s"
"だから僕は音楽を辞めた","ヨルシカ","4","","https://www.youtube.com/watch?v=mfSlpS_JIlU&t=2447s"
"ハナマル☆センセイション","","4","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=896s"
"ピースサイン","米津玄師","4","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=11s"
"ファンサ","","4","","https://www.youtube.com/watch?v=5Se_ENutraU&t=1887s"
"マツケンサンバⅡ","","4","","https://www.youtube.com/watch?v=ak9IIuJ71k0&t=4378s"
"めざせポケモンマスター","松本梨香","4","","https://www.youtube.com/watch?v=48limf1aQUc&t=3940s"
"ユメヲカケル！","","4","","https://www.youtube.com/watch?v=chsDm-fkNFM&t=693s"
"君がいない夏","","4","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=1660s"
"月光花","","4","","https://www.youtube.com/watch?v=ta4TEFnRbxE&t=2236s"
"桜","コブクロ","4","🍆","https://www.youtube.com/watch?v=Vrb3E2OPBZU&t=2109s"
"車輪の唄","BUMP OF CHICKEN","4","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=462s"
"前前前世","RADWIMPS","4","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=2106s"
"美しい鰭","スピッツ","4","","https://www.youtube.com/watch?v=bezYq-QLlSw&t=2204s"
"夢であるように","DEEN","4","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=728s"
"夜に駆ける","","4","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=7355s"
"恋","星野源","4","","https://www.youtube.com/watch?v=yIL7OmGSwr8&t=731s"
"AM11：00","","3","🍆","https://www.youtube.com/watch?v=chsDm-fkNFM&t=1032s"
"Dry?","","3","🍆","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=4265s"
"ETERNAL BLAZE","水樹奈々","3","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=3951s"
"GHOST SWEEPER","","3","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=3014s"
"GO!!!","","3","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=2811s"
"if...","","3","","https://www.youtube.com/watch?v=6QqwEASS4Wc&t=401s"
"Snow halation","","3","","https://www.youtube.com/watch?v=wns2yj43ixg&t=1730s"
"Starry Heavens","Day After Tomorrow","3","","https://www.youtube.com/watch?v=gEHwy-9lmrY&t=95s"
"STORM","JAM Project featuring 水木一郎＆影山ヒロノブ","3","","https://www.youtube.com/watch?v=C_Pk5p6gs7g&t=4357s"
"Vitalization","水樹奈々","3","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=326s"
"WE GOTTA POWER","","3","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=3451s"
"あいつこそがテニスの王子様","ミュージカルテニスの王子様","3","","https://www.youtube.com/watch?v=b7nfa5C5KXk&t=2521s"
"おジャ魔女カーニバル","","3","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=4910s"
"ガーネット","","3","","https://www.youtube.com/watch?v=vP4itqndfI8&t=841s"
"ギターと孤独と蒼い惑星","","3","","https://www.youtube.com/watch?v=BIGK3QKSaXA&t=454s"
"ギミー！レボリューション","","3","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=3710s"
"ギラギラ","","3","","https://www.youtube.com/watch?v=eqrwYJl1tW4&t=1822s"
"ココロオドル","","3","","https://www.youtube.com/watch?v=cICzuveEcE4&t=2836s"
"ずうっといっしょ！","キタニタツヤ","3","","https://www.youtube.com/watch?v=rrownzESO8Q&t=207s"
"そばかす","","3","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=3632s"
"ソラニン","","3","","https://www.youtube.com/watch?v=gEHwy-9lmrY&t=4821s"
"テレパシ","","3","","https://www.youtube.com/watch?v=8AqvgFtaSj0&t=2265s"
"トウキョウ・シャンディ・ランデヴ","","3","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=3271s"
"ニコニコ動画流星群","","3","","https://www.youtube.com/watch?v=6QqwEASS4Wc&t=5687s"
"ババーンと推参！バーンブレイバーン","ブレイバーン (CV:鈴村健一)","3","","https://www.youtube.com/watch?v=b7nfa5C5KXk&t=26s"
"ペガサス幻想","","3","🍆","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=782s"
"メリッサ","","3","","https://www.youtube.com/watch?v=mNKN7MIPe4U&t=3349s"
"もう恋なんてしない","","3","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=2879s"
"ライオン","May'n/中島愛","3","","https://www.youtube.com/watch?v=bezYq-QLlSw&t=0s"
"ラビットホール","","3","","https://www.youtube.com/watch?v=48limf1aQUc&t=5778s"
"リライト","ASIAN KUNG-FU GENERATION","3","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=2624s"
"夏祭り","Whiteberry","3","","https://www.youtube.com/watch?v=48limf1aQUc&t=9668s"
"気まぐれロマンティック","","3","","https://www.youtube.com/watch?v=q63Bi1dalMQ&t=3232s"
"空色デイズ","中川翔子","3","","https://www.youtube.com/watch?v=bezYq-QLlSw&t=1040s"
"高嶺の花子さん","back number","3","","https://www.youtube.com/watch?v=kVKLWiB4GWY&t=771s"
"祝福","YOASOBI","3","","https://www.youtube.com/watch?v=bezYq-QLlSw&t=304s"
"新宝島","サカナクション","3","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=3747s"
"星座になれたら","","3","","https://www.youtube.com/watch?v=BIGK3QKSaXA&t=766s"
"晴れてハレルヤ","奥井亜紀","3","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=2069s"
"青いベンチ","","3","","https://www.youtube.com/watch?v=gEHwy-9lmrY&t=1204s"
"千本桜","黒うさP","3","","https://www.youtube.com/watch?v=Vrb3E2OPBZU&t=807s"
